Symbol,Volume
BML-J,17900
BML-L,13400
BMN,15800
BMO,452400
BMY,7432800
BN,2054300
BNED,192400
BNH,10300
BNJ,17000
BNL,980600
BNS,1217300
BNT,9000
BNY,63100
BOC,94400
BODI,5500
BOE,96400
BOH,297200
BOH-A,13400
BOH-B,20800
BOND,265200
BOOT,1160100
BORR,4646200
BOW,397200
BOWL,617500
BOX,1770300
BP,14119900
BPT,143000
BR,655800
BRBR,1167900
BRC,356700
BRCC,423300
BRDG,195900
BRFS,1445800
BRK.A,1400
BRK.B,3331900
BRO,1371800
BROS,1599900
BRSP,404300
BRT,29000
BRW,147900
BRX,1216700
BSAC,552500
BSBR,397900
BSIG,212300
BSL,24800
BSM,541300
BST,87100
BSTZ,142500
BSX,4284400
BTA,30400
BTCM,167600
BTE,12831800
BTI,2696600
BTO,38000
BTT,112900
BTU,6621500
BTZ,245100
BUD,2493500
BUI,38400
BUR,1109500
BURL,2019800
BUXX,88500
BV,601200
BVN,603100
BW,719200
BW-A,136000
BWA,2298800
BWG,77700
BWLP,413900
BWMX,45500
BWNB,4800
BWSN,11200
BWXT,521800
BX,3205500
BXC,67200
BXMT,1090200
BXMX,116000
BXP,968300
BXSL,680700
BY,125600
BYD,478800
BYM,32800
BYON,2371500
BZH,641300
C,11605200
C-N,59200
CAAP,199300
CABO,58600
CACI,197400
CAD-A,8400
CADE,1353700
CAE,640500
CAF,25600
CAG,5294300
CAH,1684700
CAL,449000
CALX,1157100
CANG,306400
CAPL,22500
CARR,5718700
CARS,503500
CAT,1796700
CATO,369100
CAVA,1931100
CB,1623900
CBAN,37700
CBL,231700
CBNA,40100
CBRE,2216600
CBT,293900
CBU,221200
CBZ,265900
CC,1614500
CCI,2914000
CCIA,4000
CCIF,261700
CCJ,3037300
CCK,1124400
CCL,20993000
CCM,24200
CCO,1588300
CCRD,56000
CCS,329800
CCU,237800
CCZ,3500
CDE,6053300
CDLR,47400
CDP,1315700
CDR-B,300
CDR-C,1000
CDRE,247700
CE,2417400
CEE,10800
CEIX,585100
CEL.P,200
CEPU,287200
CF,1748200
CFG,2582100
CFG-E,32700
CFG-H,40800
CFR,319600
CFR-B,15000
CGAU,486400
CGV,71800
CHCT,290300
CHD,1254600
CHE,83100
CHGG,4254900
CHH,274500
CHM-A,3000
CHM-B,13200
CHMI,229900
CHN,24100
CHPT,9886000
CHT,105400
CHWY,3786000
CI,1695300
CIA,51400
CIB,178500
CICB,9400
CIEN,1086300
CIF,140500
CIG,1798100
CIG.C,2100
CII,166500
CIM,387400
CIM-A,12800
CIM-B,17800
CIM-C,27200
CIM-D,12500
CIMN,8300
CIMO,21000
CINT,114000
CIO,339800
CIO-A,4300
CION,224400
CIVI,1054700
CL,4380700
CLB,364400
CLB.U,800
CLB.W,39700
CLBR,34500
CLCO,711800
CLD-A,1100
CLDT,438500
CLF,14605000
CLH,259100
CLPR,70000
CLS,1610600
CLVT,6814000
CLW,251700
CLX,944600
CM,804500
CMA,1443700
CMBT,202000
CMC,680800
CMCM,90700
CMG,6629700
CMI,400900
CMP,716200
CMR-B,1600
CMR-C,700
CMR-D,11200
CMRE,407200
CMS,2265700
CMS-B,300
CMS-C,11300
CMSA,3300
CMSC,8300
CMSD,18500
CMTG,374600
CMU,103200
CNA,181000
CNC,5544000
CNF,49900
CNH,18210800
CNI,1221900
CNK,7899400
CNM,2190400
CNMD,404700
CNNE,240400
CNO,607400
CNO-A,500
CNP,4399000
CNQ,7248900
CNS,111600
CNX,1973800
COD-A,23000
COD-B,96400
COD-C,57700
CODI,173100
COF,2327400
COF-I,110300
COF-J,78600
COF-K,9200
COF-L,51300
COF-N,29600
COHR,2610100
COLD,1624000
COMP,3715000
CON,8703400
COOK,249000
COP,12073600
COR,977900
COTY,5655200
COUR,3442500
CP,5979900
CPA,504700
CPAC,6100
CPAI,10500
CPAY,325000
CPF,131700
CPK,85000
CPNG,4689700
CPRI,7222200
CPS,111000
CPT,881500
CQP,127000
CR,231900
CRBG,3502500
CRC,572500
CRD.A,52100
CRD.B,4400
CRGY,1537900
CRH,5616500
CRI,935900
CRK,1213400
CRL,430800
CRM,4492700
CRS,572300
CRT,18100
CSAN,498700
CSL,400400
CSR,211900
CSTM,1064700
CSV,58900
CTA-B,2900
CTBB,72900
CTDD,32300
CTLT,1963900
CTO,358100
CTO-A,1900
CTOS,600100
CTRA,4676900
CTRE,2254400
CTRI,329800
CTS,186100
CTV,2868900
CTV.W,34700
CTVA,3959100
CUB-E,1600
CUB-F,500
CUBB,300
CUBE,1335500
CUBI,217600
CUK,959700
CULP,3000
CURB,645200
CURV,444200
CUZ,976200
CVE,13823400
CVE.W,3100
CVEO,88700
CVI,1140100
CVLG,31200
CVNA,1772200
CVS,7885100
CVX,7369900
CW,182800
CWAN,1981400
CWE.A,232300
CWEN,802700
CWH,1399500
CWK,1094500
CWT,354600
CX,9261900
CXE,32300
CXH,16600
CXM,2224500
CXT,614500
CXW,781600
CYD,13600
CYH,1635100
D,4577000
DAC,197900
DAL,5499600
DAN,6496900
DAO,371200
DAR,2257400
DAVA,391500
DAY,5322400
DB,979900
DBD,213700
DBI,2555500
DBL,148900
DBR-H,2900
DBR-I,16300
DBR-J,13900
DBRG,1816100
DCI,490800
DCO,147200
DD,2347200
DDD,2597900
DDL,857400
DDS,128500
DDT,11800
DE,1747200
DEA,1261000
DEC,294300
DECK,1503200
DEI,919500
DELL,12796200
DEO,1543600
DESP,1136000
DFH,584900
DFIN,107700
DFP,46000
DFS,1233200
DG,3195600
DGX,756000
DHF,301400
DHI,1826300
DHR,2377700
DHT,1822300
DHX,153400
DIAX,33900
DIN,299100
DINO,1685200
DIS,6808100
DIVY,5600
DK,869900
DKL,97200
DKS,3821900
DLB,464800
DLN-A,4000
DLN-B,2000
DLNG,130100
DLR,1962600
DLR-J,29400
DLR-K,45500
DLR-L,23200
DLX,303700
DLY,102500
DM,459600
DMA,6500
DMB,62100
DMO,89800
DNA,845900
DNB,1161600
DNMR,35200
DNOW,620800
DNP,583000
DOC,3352300
DOCN,597500
DOCS,3571100
DOLE,435800
DOUG,1247800
DOV,752300
DOW,9225300
DPG,99100
DPZ,453400
DQ,391200
DRD,193700
DRH,2846800
DRH-A,5600
DRI,996100
DRLL,137700
DSL,402500
DSM,138200
DSMC,13100
DSTX,2400
DSU,244600
DSX,1676100
DSX-B,5400
DSX.W,13500
DT,2294200
DTB,10600
DTC,245000
DTE,1148500
DTF,7200
DTG,22900
DTM,921800
DTW,15900
DUK,2850600
DUK-A,64900
DUKB,25100
DV,1507700
DVA,517800
DVN,10083100
DX,1504600
DX-C,3000
DXC,848500
DXYZ,2237200
DY,439300
E,379800
EAF,2379100
EAI,23000
EARN,325500
EAT,899100
EB,1854600
EBF,122500
EBR,1166500
EBR.B,15300
EBS,878400
EC,1844000
ECAT,215800
ECC,702500
ECC-D,16800
ECCC,4500
ECCF,4300
ECCV,100
ECCX,5900
ECG,364600
ECL,809300
ECO,176700
ECVT,554100
ED,2435300
EDD,230300
EDF,74400
EDN,160200
EDR,6397600
EDU,956200
EE,192200
EEA,14800
EEX,90200
EFC,1212900
EFC-A,4600
EFC-B,3600
EFC-C,1200
EFC-D,1000
EFC-E,1900
EFR,44400
EFT,51400
EFX,1114100
EFXT,1437600
EG,398000
EGF,500
EGO,714500
EGP,199400
EGY,872200
EHAB,303200
EHC,546800
EHI,188700
EIC,243000
EICA,2000
EICB,3600
EICC,4500
EIG,227900
EIIA,10200
EIX,2052200
EL,4799400
ELAN,5445600
ELC,22000
ELF,2050200
ELME,699200
ELP,498900
ELPC,13800
ELS,1019600
ELV,1611200
EMD,130100
EME,451800
EMF,25100
EMN,991100
EMO,31600
EMP,11100
EMR,3254700
ENB,4560200
ENFN,537900
ENIC,645000
ENJ,1200
ENLC,11809200
ENO,5300
ENOV,779700
ENR,518600
ENS,163500
ENVA,141100
ENZ,198400
EOD,74900
EOG,3129800
EOI,77700
EOS,69200
EOT,34600
EP-C,2700
EPAC,486000
EPAM,582900
EPC,394900
EPD,4847600
EPR,427500
EPR-C,10600
EPR-E,3700
EPR-G,5200
EPRT,910600
EQBK,41900
EQC,2178300
EQC-D,30900
EQH,1941400
EQH-A,48200
EQH-C,13200
EQNR,3782300
EQR,1071500
EQS,400
EQT,7663400
EQV,5800
EQV.W,39400
ERJ,2361900
ERO,470700
ES,1420800
ESAB,155600
ESE,125400
ESI,1483500
ESNT,661000
ESRT,1186700
ESS,284700
ESTC,1846100
ET,12285500
ET-I,26000
ETB,44100
ETD,113800
ETG,119500
ETI.P,3100
ETJ,106300
ETN,2096100
ETO,29900
ETR,1856500
ETV,149700
ETW,214500
ETW.W,8300
ETWO,891200
ETX,33700
ETY,164500
EVC,251000
EVE.T,12100
EVEX,595100
EVF,42400
EVG,60500
EVH,3569000
EVN,85500
EVR,325700
EVRI,451800
EVT,136400
EVTC,245600
EVTL,437200
EVTR,178600
EW,4643300
EXG,466800
EXK,4061600
EXP,244900
EXPD,899200
EXR,623400
EXTO,17200
F,47458700
F-B,32200
F-C,40000
F-D,46000
FAF,722400
FBIN,886900
FBK,105800
FBMS,97800
FBP,831300
FBR-E,16300
FBRT,303400
FC,69700
FCF,434700
FCN,180300
FCPT,593900
FCRX,8900
FCT,86700
FCX,11820900
FDP,277500
FDS,230700
FDX,1669300
FE,1801000
FEDU,1100
FENG,29100
FERG,1286900
FET,66900
FF,233600
FFA,36900
FFC,174900
FFWM,398900
FG,55700
FGB,24700
FGN,6300
FHI,443700
FHN,4134700
FHN-B,300
FHN-E,4400
FHN-F,3400
FI,1868500
FICO,202600
FIGS,3237300
FIHL,928400
FINS,92300
FINV,619700
FIS,2646100
FIX,339100
FL,3661900
FLC,24000
FLG,4449000
FLG-A,65100
FLG-U,7400
FLNG,422600
FLO,1679500
FLR,1318300
FLS,928600
FLUT,1148000
FLXR,49000
FMC,1590500
FMN,71900
FMS,200500
FMX,477700
FMY,4400
FN,572100
FNA,652800
FNB,1854200
FND,1652700
FNF,1104400
FNV,1261000
FOA,137700
FOF,49900
FOR,116500
FOUR,1185000
FPF,117300
FPH,317900
FPI,200700
FR,593300
FRA,69900
FRE.W,6900
FREY,1494000
FRGE,417700
FRO,3985700
FRT,659100
FRT-C,5400
FSCO,622500
FSK,1160000
FSLY,2389000
FSM,6671700
FSS,254300
FT,17700
FTHY,186200
FTI,4553600
FTK,248400
FTS,482600
FTV,2588800
FTWO,16400
FUBO,17031500
FUL,281700
FUN,3173000
FVR,116700
FVRR,520200
FXED,3800
G,988400
GAB,495600
GAB-G,1500
GAB-H,7500
GAB-K,5300
GAM,32200
GAM-B,1200
GAP,7695500
GATO,719900
GATX,213700
GB,36800
GB.W,42700
GBAB,146000
GBCI,493400
GBLI,4800
GBTG,780700
GBX,345400
GCI,815500
GCO,160300
GCT.W,2600
GCTS,117800
GCV,59300
GD,1095200
GDDY,1925800
GDIV,43200
GDL,15700
GDO,67400
GDOT,658300
GDV,88300
GDV-H,6600
GDV-K,7500
GE,3918900
GEF,171500
GEF.B,6100
GEL,400900
GENI,3806600
GEO,3633500
GES,1780200
GETY,589800
GEV,2007900
GF,25800
GFF,697000
GFI,1607900
GFL,747400
GFR,157200
GGB,10068700
GGG,1035500
GGT,65600
GGT-G,800
GGZ,9300
GHC,14800
GHG,3100
GHI,75200
GHLD,20000
GHM,91600
GHY,335300
GIB,152000
GIC,70200
GIL,452400
GIS,3642500
GJH,400
GJO,2000
GJP,300
GJS,100
GJT,1200
GKOS,597100
GL,388000
GL-D,7100
GLO-A,3800
GLO-B,6000
GLO-C,7000
GLOB,281000
GLP,44700
GLP-B,10700
GLW,3926700
GM,25817300
GME,24657300
GMED,594200
GMR-A,3900
GMRE,252700
GMS,430900
GNE,79100
GNK,656200
GNL,1109100
GNL-A,3600
GNL-B,3500
GNL-D,5300
GNL-E,4200
GNRC,517600
GNT,8400
GNTY,13600
GNW,2509000
GOF,553900
GOLD,27768300
GOLF,235600
GOOS,801700
GOTU,1468500
GPC,917500
GPI,178400
GPJA,23100
GPK,2307500
GPM-A,35200
GPMT,345900
GPN,1937000
GPOR,288200
GPRK,276900
GRB-A,2800
GRBK,268400
GRC,43000
GRDN,120100
GRMN,1160700
GRN.T,9500
GRND,829500
GRNT,451700
GROV,90000
GRP.U,3500
GRW,2600
GRX,18100
GS,2846900
GS-A,24000
GS-C,38300
GS-D,90300
GSBD,616500
GSK,4194600
GSL,437300
GSL-B,2900
GTES,3007300
GTL-B,87200
GTLS,990500
GTN,1353500
GTN.A,5800
