PANW,2860500
CTSH,2828800
OTLY,2814800
BLDE,2799100
CRBU,2793300
LPSN,2791600
BRZE,2788900
SOXX,2783800
TGTX,2770200
TERN,2767400
ARQT,2766600
CART,2762800
CME,2752800
ROST,2742900
DASH,2741000
VXUS,2737300
INDI,2728300
BNDX,2725300
SMCX,2723500
DOCU,2691100
IUSB,2687900
WEN,2685000
LAZR,2684900
AVXL,2679700
NTAP,2670100
SVC,2661200
STI,2632400
IGIB,2631000
EXE,2605400
ARM,2605000
LIN,2600000
MHUA,2591100
PSEC,2573900
IRWD,2563100
BCTX,2556200
CRNT,2553900
CCCS,2531600
WKHS,2526700
ADSK,2519900
MULN,2502300
LGCL,2479000
NXPI,2476600
APLT,2471800
FANG,2466800
PTIX,2452000
NBIS,2444500
ILMN,2440700
LBTYA,2428000
PTLE,2425300
ADBE,2415700
STX,2412500
BLBD,2410800
DBX,2404600
OCGN,2374700
BIGC,2373900
KWE,2370000
AMBA,2367700
PYXS,2366300
CPB,2366200
SRAD,2362300
VCLT,2358300
QRVO,2353800
Z,2350800
BRY,2348800
GLNG,2326100
MLCO,2314800
CZR,2313300
BNGO,2293200
VGIT,2290200
SCZ,2282400
QYLD,2280400
AEP,2277600
SBLK,2277200
NEXT,2274500
HCP,2272200
CG,2262500
SDVY,2237900
REPL,2236700
OPCH,2231500
SHC,2231500
HSIC,2207600
SNRE,2191300
NTLA,2178000
BLRX,2175900
RVNC,2175400
MOBX,2168200
GFS,2160000
ALGM,2158600
LBTYK,2157800
ADMA,2140900
LZ,2139600
ALT,2139100
GBDC,2136900
PCAR,2131300
LAB,2129000
TIGR,2098200
GLE,2097500
ENTG,2092400
QXO,2086200
BCOV,2071200
EMXC,2065000
OPI,2064200
FIVE,2061200
GOGL,2052400
ADTX,2044300
GEHC,2040800
SONO,2035000
UNIT,2015200
SNDL,2007700
FAST,2006700
RZLV,1999600
ACRS,1997300
RPRX,1991600
HOLX,1985200
TTEK,1976700
ALKT,1969400
SEAT,1968200
HOLO,1967800
TSSI,1966600
NDAQ,1964900
QFIN,1953900
PCT,1947200
ASO,1943100
BRKR,1942900
XRX,1928500
XRAY,1926600
TVGN,1922300
MNMD,1916900
AMRN,1913800
CSGP,1913800
GH,1912500
GO,1911000
IDYA,1901700
INOD,1897000
ICAD,1893300
WSC,1879900
ACMR,1879500
AVPT,1872800
EMBC,1872700
SWKS,1863800
BLMN,1862700
FCEL,1861500
EA,1859500
WBUY,1856100
VGSH,1855400
PLYA,1848300
BSCO,1840600
SLXN,1838600
CLBT,1834700
MTC,1821200
API,1818700
TMC,1816400
LSCC,1813000
SATS,1811300
WYNN,1807400
AIOT,1807200
VITL,1806800
AUTL,1802400
IBB,1800900
IXUS,1793300
CDW,1792700
FSLR,1790400
TTWO,1788400
INTU,1784100
LEGN,1775300
SKK,1773200
APDN,1772800
MDB,1768300
TER,1768300
TVTX,1767100
PET,1763500
ABCL,1757700
TMDX,1757300
RELY,1748000
CTXR,1735300
WWD,1729500
PGY,1728300
ICCM,1718800
LNT,1715200
PENN,1708200
IBTG,1705500
VERU,1704100
ADPT,1702200
GPRO,1701200
ACWI,1691500
CNSL,1688600
VRRM,1684300
XAIR,1681000
AKAM,1678600
NXT,1676700
TRIP,1672000
ABVE,1661100
VIGL,1660800
WMG,1658300
CKPT,1652300
MTTR,1651800
ACVA,1645900
NNDM,1635400
ACHC,1632600
HAS,1631200
EVRG,1630300
BIVI,1627800
MCHI,1623000
LKQ,1617800
NWSA,1616700
ALGN,1612800
VRNS,1612800
FLYW,1605000
CHX,1603200
OMER,1598600
NEOG,1588900
HRTX,1588200
CSIQ,1574700
SBFM,1558400
KOPN,1556500
BMBL,1551700
ITRM,1542800
DVAX,1538400
FOLD,1537400
MGNI,1537200
ACB,1532400
SLNO,1528600
EYE,1526000
SSNC,1524900
AQST,1520700
CHRW,1513700
PTCT,1511800
BSCQ,1501100
FIVN,1499600
CGTL,1496600
PGNY,1486400
GTLB,1486300
LGHL,1483400
TPG,1483300
ACET,1482100
INCY,1475600
VIAV,1472700
SFM,1470400
ALKS,1462600
MDAIW,1460700
MAR,1459000
SCLX,1456000
AVDX,1450700
FDMT,1447000
RNAZ,1446900
PHUN,1444500
ARHS,1441200
COST,1438000
BCRX,1432100
GDS,1430700
SMLR,1430300
FUTU,1427200
ASML,1424000
NNOX,1421100
SRRK,1418100
BIIB,1418000
FIP,1415100
INVZ,1414400
INZY,1414200
GLBE,1401000
HALO,1400300
SGRY,1394300
CDMO,1391400
AMZU,1389400
TBLA,1387500
UBXG,1387000
GSM,1386200
ANNX,1373000
GLPI,1372200
GNTX,1371400
CTAS,1369600
HAIN,1368400
NKTR,1366900
PAYX,1366800
GRPN,1366000
PRCH,1363200
ROIC,1360100
OCUL,1359900
SYM,1358700
CCEP,1356900
VTWO,1356600
VRCA,1352600
RILY,1351400
TALK,1346400
TEAM,1345800
UNCY,1344900
ALHC,1342600
IONS,1341100
GOSS,1336600
NGNE,1332300
VRTX,1327700
VSTE,1322500
XERS,1321900
VXRT,1320800
NN,1317800
CROX,1313100
COO,1312100
TNDM,1311500
IVVD,1308200
EXEL,1308100
TROW,1307600
INDV,1307300
LICN,1304000
COLB,1303500
MXL,1299800
SLDP,1293100
MPWR,1287300
SFIX,1284500
CLRO,1281600
SMMT,1279300
ZS,1277400
LYRA,1273000
ACGL,1269200
CLNE,1266100
RYAAY,1265200
HCWB,1261700
PENG,1255100
ACAD,1254900
GNPX,1247700
LNTH,1246700
LBRDK,1237800
LFST,1236000
TRMD,1235400
LYEL,1232000
KITT,1229700
VRNA,1223300
NVD,1223200
DLO,1222100
SANA,1222000
CAPR,1219900
NKTX,1217000
RLAY,1212500
ARBK,1211400
LULU,1209400
GLYC,1208500
BZFD,1207300
CRMD,1206700
XFOR,1204400
TDUP,1202100
RNA,1200900
DNLI,1197300
CRSP,1189800
TPST,1189700
QRTEA,1183000
QQQM,1175700
VWOB,1174600
FA,1173800
GMAB,1157900
NTES,1155700
CHTR,1155100
CPRX,1152800
ISRG,1152800
FIBK,1148500
TSLR,1145600
LITE,1144400
CDNS,1144000
BFRI,1143800
VONG,1142700
TC,1142200
INVA,1139500
CERS,1139200
EXTR,1138300
FOX,1130400
ATAI,1128300
FOXF,1121300
KTOS,1117700
FYBR,1111500
IRDM,1109800
INSM,1104500
LTBR,1104200
MDIA,1099700
HITI,1092800
CYTK,1092100
PGEN,1092000
LILAK,1090900
IVCB,1089400
CDLX,1086600
NARI,1084900
UROY,1081400
LBPH,1078200
AZI,1077200
AMRX,1077000
AVDL,1070800
ODFL,1069700
SMX,1067300
CNDT,1065500
STOK,1062000
MYGN,1061600
RCKT,1058600
MNTS,1057500
LFMD,1057400
BSJQ,1057300
IPSC,1055200
DYN,1053800
CCCC,1052500
ADP,1048700
VMEO,1046200
EDBL,1044300
DNUT,1043700
RMBS,1042200
VRDN,1041500
PLAY,1041400
OGI,1037400
GTX,1036100
ABSI,1033300
VCYT,1032300
ARQQ,1032200
CDXC,1030300
FTCI,1027900
ACCD,1027700
TBIL,1022000
SMPL,1021200
SWTX,1015600
IMNM,1014800
GGAL,1012600
ATEC,1012100
GDRX,1010600
IVP,1008400
TRMB,1006000
CERT,1003700
LUCD,1003000
CAKE,1001300
MRNS,1001000
BMRN,999700
OS,998800
INTR,995100
TECH,995000
EXPE,991700
CUTR,990900
PRAX,990500
PTLO,988000
ALNY,985900
IEI,985900
SYRA,984300
ICCT,983100
ANGL,982700
ATAT,981300
VNET,977700
SIDU,975600
GWAV,973700
TPIC,969700
NTRA,969200
STLD,969000
ICLR,968600
KYMR,967400
MXCT,966900
WVE,965800
VFLO,963500
AOSL,963400
QDEL,962100
IHRT,958500
NTRS,958400
PHAT,955200
AMKR,950400
PRME,950200
BTSG,949800
DHC,949000
NUWE,948300
RR,947700
IBKR,947400
CENX,945200
AY,942600
DUO,938000
OLLI,937800
MDJH,936000
BENF,935700
CHRD,934000
SSRM,932800
JBHT,932200
PFG,931800
CNXC,931000
CDNA,929000
PAGP,927000
EWCZ,925500
VERV,925500
ZION,925200
KLAC,923400
OPTN,923200
UDMY,921300
TCMD,916000
HIMX,912600
GLUE,911100
AISP,908100
IMMR,906400
PCVX,906000
PDYNW,905500
WLDS,903400
FHB,900900
SNDX,900700
CGNX,900600
CLSKW,900000
SDGR,899900
MNRO,896600
NWE,895900
TEM,891000
PYCR,890000
BSCS,886600
TW,881000
DUOL,875600
LQDA,870000
RYTM,868800
PDCO,868500
PZZA,865700
NAVI,865600
INMD,864300
CVBF,861400
VNOM,858000
TFFP,856300
DENN,854000
CTMX,851200
ULTA,848700
FULC,848000
ORGO,846400
LINE,846100
GRAL,843300
NVDS,843000
FWONK,842300
CXAI,839400
VIR,836500
SVRA,836100
TNGX,836000
TANH,835600
MASI,834200
TMCI,834000
EGHT,833000
PPC,832600
IBG,829800
NVEE,828900
COGT,827300
LAMR,826500
