Symbol,Date,Open,High,Low,Close,Volume
AERT,26-Nov-2024,1.07,1.15,1,1,46100
AEYE,26-Nov-2024,26.23,27.015,25.78,26.29,106100
AFBI,26-Nov-2024,21.45,21.62,21.45,21.62,2500
AFCG,26-Nov-2024,9.66,9.67,9.5371,9.58,114100
AFJK,26-Nov-2024,10.6,10.6,10.6,10.6,100
AFMD,26-Nov-2024,3.02,3.0201,2.66,2.87,203100
AFRI,26-Nov-2024,10.3076,10.3076,10.1,10.1,3100
AFRIW,26-Nov-2024,1.12,1.34,1.09,1.09,20900
AFRM,26-Nov-2024,68,69.52,65.69,66.27,8839500
AFYA,26-Nov-2024,16.95,17.11,16.71,17.05,94100
AGAE,26-Nov-2024,1.04,1.0762,1,1.02,11600
AGEN,26-Nov-2024,3.57,3.69,3.3591,3.38,370500
AGFY,26-Nov-2024,47.99,69.49,43.0215,62.71,465300
AGIO,26-Nov-2024,57.39,59.61,56.67,59.1,484500
AGIX,26-Nov-2024,28.43,28.48,28.4,28.4651,4100
AGMH,26-Nov-2024,1.82,1.94,1.75,1.78,142700
AGMI,26-Nov-2024,27.36,27.36,27.2166,27.2166,800
AGNC,26-Nov-2024,9.76,9.76,9.54,9.64,22242000
AGNCL,26-Nov-2024,25.25,25.26,25.1,25.25,14300
AGNCM,26-Nov-2024,25.1896,25.25,25.1896,25.25,7000
AGNCN,26-Nov-2024,25.81,25.8623,25.65,25.72,20900
AGNCO,26-Nov-2024,25.39,25.39,25.28,25.31,35900
AGNCP,26-Nov-2024,24.55,24.77,24.52,24.77,47900
AGNG,26-Nov-2024,31.35,31.42,31.17,31.41,4400
AGRI,26-Nov-2024,0.04,0.04,0.0365,0.037,14603600
AGYS,26-Nov-2024,136.53,138.43,136,137.72,233700
AGZD,26-Nov-2024,22.39,22.5116,22.39,22.42,449600
AHCO,26-Nov-2024,10,10.1122,9.78,9.95,705200
AHG,26-Nov-2024,0.8209,0.8956,0.801,0.85,19500
AIA,26-Nov-2024,69.26,69.28,68.765,68.78,14700
AIEV,26-Nov-2024,0.27,0.295,0.2528,0.2528,52100
AIFF,26-Nov-2024,3.33,3.48,2.95,3,135200
AIFU,26-Nov-2024,1.35,1.35,1.28,1.33,52100
AIHS,26-Nov-2024,0.9,0.925,0.866,0.891,38400
AILE,26-Nov-2024,1.53,1.56,1.41,1.41,377500
AILEW,26-Nov-2024,0.11,0.1111,0.085,0.085,129400
AIMAU,26-Nov-2024,12.391,12.391,11.875,11.875,400
AIMD,26-Nov-2024,0.469,0.48,0.45,0.4604,31600
AIOT,26-Nov-2024,7.26,7.34,7.03,7.15,1807200
AIP,26-Nov-2024,8.5,8.88,8.3371,8.73,223200
AIPI,26-Nov-2024,50.78,50.81,50.52,50.75,178500
AIQ,26-Nov-2024,38.89,39.0625,38.8052,38.92,354900
AIRE,26-Nov-2024,1.02,1.08,0.98,1.06,68300
AIRG,26-Nov-2024,8.96,9,8.77,8.99,22800
AIRJ,26-Nov-2024,8,8.65,7.77,8.21,35600
AIRJW,26-Nov-2024,0.8,0.9375,0.8,0.8275,7400
AIRL,26-Nov-2024,29.32,29.32,29.2993,29.2993,100
AIRR,26-Nov-2024,85.78,86.2232,85.2,85.83,674300
AIRS,26-Nov-2024,7.2,7.2,6.2201,6.56,534600
AIRT,26-Nov-2024,20.25,21.8029,20.25,20.97,16500
AIRTP,26-Nov-2024,17.39,17.72,17.25,17.25,3200
AISP,26-Nov-2024,2.67,2.67,2.52,2.53,908100
AISPW,26-Nov-2024,0.46,0.46,0.3975,0.43,23700
AIXI,26-Nov-2024,6.364,6.425,6.05,6.1935,59400
AKAM,26-Nov-2024,94.66,94.9,92.83,93.1,1678600
AKAN,26-Nov-2024,1.52,1.7684,1.41,1.62,259600
AKBA,26-Nov-2024,1.93,2.1,1.9,2.05,3908100
AKRO,26-Nov-2024,31.7,32.03,30.69,31.16,397600
AKTS,26-Nov-2024,0.088,0.1039,0.087,0.098,12751600
AKTX,26-Nov-2024,1.1,1.185,0.9,1.14,157600
AKYA,26-Nov-2024,2.11,2.3,2.055,2.2,148800
ALAB,26-Nov-2024,108,110.98,103.64,105.48,4343800
ALAR,26-Nov-2024,13.27,14.1951,13.02,13.43,228200
ALBT,26-Nov-2024,2.76,3.0486,2.68,2.73,135600
ALCE,26-Nov-2024,1.34,1.34,1.26,1.3,93500
ALCO,26-Nov-2024,26.32,27,26.1786,26.92,32800
ALCYU,26-Nov-2024,11.01,11.01,11.01,11.01,100
ALCYW,26-Nov-2024,0.1001,0.1001,0.0908,0.0998,31400
ALDFU,26-Nov-2024,10.0028,10.0028,10.0028,10.0028,300
ALDX,26-Nov-2024,4.95,4.96,4.74,4.8,432300
ALEC,26-Nov-2024,2.59,2.71,2.37,2.57,8130300
ALF,26-Nov-2024,10.05,10.0752,10.05,10.06,4500
ALFUU,26-Nov-2024,10.11,10.11,10.11,10.11,100
ALFUW,26-Nov-2024,0.1,0.1,0.1,0.1,62500
ALGM,26-Nov-2024,22.78,22.96,21.42,21.57,2158600
ALGN,26-Nov-2024,237.26,237.475,226.5201,227.93,1612800
ALGS,26-Nov-2024,20.48,22.46,19.5,21.35,371600
ALGT,26-Nov-2024,83.12,84.79,80.36,80.74,285100
ALHC,26-Nov-2024,12.39,12.52,12.03,12.27,1342600
ALKS,26-Nov-2024,29.43,29.685,28.691,29.25,1462600
ALKT,26-Nov-2024,41.5,41.765,39.15,39.69,1969400
ALLK,26-Nov-2024,0.8655,0.9024,0.8443,0.8942,70700
ALLO,26-Nov-2024,2.51,2.77,2.44,2.52,5295100
ALLR,26-Nov-2024,1.27,1.29,1.21,1.24,146300
ALLT,26-Nov-2024,4.77,4.77,4.47,4.54,709400
ALMS,26-Nov-2024,9.42,9.56,9.0609,9.4,68200
ALNT,26-Nov-2024,25.18,26.05,24.51,25.34,274700
ALNY,26-Nov-2024,249.37,253.74,247.755,253.35,985900
ALOT,26-Nov-2024,14.965,15.19,14.965,15.19,1300
ALRM,26-Nov-2024,64.21,65.08,64.01,64.53,343200
ALRN,26-Nov-2024,2.51,2.6492,2.5,2.56,36900
ALRS,26-Nov-2024,22.01,22.2,21.74,21.98,132100
ALSA,26-Nov-2024,11.94,11.96,11.9,11.9,5800
ALSAW,26-Nov-2024,0.0111,0.0111,0.0056,0.0057,4400
ALT,26-Nov-2024,8.68,9.23,8.39,8.43,2139100
ALTI,26-Nov-2024,4.45,4.51,4.3,4.34,57200
ALTO,26-Nov-2024,1.39,1.42,1.39,1.41,449800
ALTR,26-Nov-2024,105.87,106.18,105.35,105.4,488600
ALTS,26-Nov-2024,2.11,2.16,2.06,2.15,49000
ALTY,26-Nov-2024,12.01,12.08,12.01,12.05,12900
ALVO,26-Nov-2024,12,12.04,11.8,11.84,37900
ALVOW,26-Nov-2024,3.17,3.18,2.9,3.11,10400
ALVR,26-Nov-2024,0.533,0.5499,0.51,0.5348,319900
ALXO,26-Nov-2024,1.48,1.55,1.47,1.49,550400
ALZN,26-Nov-2024,1.29,1.345,1.27,1.285,116700
AMAL,26-Nov-2024,36.39,36.78,36.17,36.52,176800
AMAT,26-Nov-2024,175.34,175.485,170.93,173.2,6517000
AMBA,26-Nov-2024,68.06,69.55,66.985,68.41,2367700
AMCX,26-Nov-2024,9.26,9.39,8.93,9.16,592200
AMD,26-Nov-2024,142.55,142.8,136.62,137.72,32092300
AMDL,26-Nov-2024,10.94,10.95,10.02,10.19,3398900
AMDS,26-Nov-2024,13.57,14.1048,13.57,14,9100
AMED,26-Nov-2024,91.05,91.28,90.365,91.02,158700
AMGN,26-Nov-2024,264.22,280.34,257.8,280.01,17010300
AMID,26-Nov-2024,37.59,37.59,37.42,37.57,10700
AMIX,26-Nov-2024,6.05,6.1834,5.5501,6,190700
AMKR,26-Nov-2024,27.06,27.1,26.15,26.28,950400
AMLI,26-Nov-2024,0.6776,0.6877,0.6555,0.6555,278000
AMLX,26-Nov-2024,5.8,5.8,5.35,5.45,714100
AMPG,26-Nov-2024,0.965,1.0254,0.8897,0.9019,337600
AMPGW,26-Nov-2024,0.0151,0.0242,0.0151,0.0242,2400
AMPH,26-Nov-2024,44.45,44.88,44.16,44.22,283700
AMPL,26-Nov-2024,10.8,10.82,10.54,10.58,205500
AMRK,26-Nov-2024,29.98,30.16,29.59,29.87,192700
AMRN,26-Nov-2024,0.52,0.52,0.4901,0.4996,1913800
AMRX,26-Nov-2024,8.32,8.34,7.965,8.25,1077000
AMSC,26-Nov-2024,34.21,34.82,33.44,33.68,824800
AMSF,26-Nov-2024,58.63,59.04,58.27,58.77,142900
AMST,26-Nov-2024,2.38,2.3901,2.275,2.31,23200
AMTX,26-Nov-2024,4.17,4.17,3.855,3.93,624200
AMWD,26-Nov-2024,94.49,97.1,90.79,91.62,545000
AMZD,26-Nov-2024,12.6,12.6,12.275,12.3,63400
AMZN,26-Nov-2024,201.9,208,201.79,207.86,41673700
AMZU,26-Nov-2024,37.06,39.115,36.89,39.06,1389400
AMZZ,26-Nov-2024,29.72,31.49,29.68,31.39,117900
ANAB,26-Nov-2024,23.86,25.32,22.835,25.25,686700
ANDE,26-Nov-2024,48.73,48.9,47.63,47.82,191700
ANEB,26-Nov-2024,1.41,1.6,1.39,1.4,9000
ANGH,26-Nov-2024,0.736,0.763,0.72,0.762,6800
ANGI,26-Nov-2024,1.98,2.01,1.87,1.9,815300
ANGL,26-Nov-2024,29.12,29.12,29.0501,29.08,982700
ANGO,26-Nov-2024,6.99,7.025,6.88,6.99,250900
ANIK,26-Nov-2024,17.2,17.77,17.1,17.72,108800
ANIP,26-Nov-2024,58.14,58.83,56.59,57.86,196800
ANIX,26-Nov-2024,3.37,3.44,3.28,3.32,68700
ANL,26-Nov-2024,2.37,2.5501,2.0001,2.17,35000
ANNX,26-Nov-2024,5.11,5.41,5.05,5.29,1373000
ANSC,26-Nov-2024,10.425,10.425,10.42,10.424,39100
ANSCW,26-Nov-2024,0.254,0.257,0.252,0.254,6900
