Ticker,Volume,number_options
RUM,5989000,12
RXRX,8515800,12
S,4108700,12
SIRI,3006100,12
SPCE,1625400,12
SRPT,3403400,12
STX,2412500,12
STZ,2715300,12
T,30080300,12
TDOC,6427400,12
TGTX,2770200,12
TMO,1748500,12
TSCO,787500,12
UPST,5729300,12
VALE,23544700,12
VFC,3880600,12
VRT,7680900,12
WMB,7363100,12
XPEV,6257900,12
ZI,6236500,12
AAP,2282900,11
AEO,3851000,11
AGI,2147100,11
ALB,1973300,11
ANF,5018200,11
APO,2733700,11
AZN,4334500,11
BAX,4311100,11
BBWI,8740400,11
BEKE,8272500,11
BILL,1398600,11
BTBT,26720100,11
BUD,2493500,11
BURL,2019800,11
BYND,3994600,11
CAH,1684700,11
CCJ,3037300,11
CLSK,37181100,11
CNC,5544000,11
CSIQ,1574700,11
CTAS,1369600,11
CTRA,4676900,11
DBX,2404600,11
DD,2347200,11
DFS,1233200,11
DPZ,453400,11
ENVX,4262400,11
EOSE,3447800,11
EPD,4847600,11
EQT,7663400,11
FANG,2466800,11
FIS,2646100,11
FSLY,2389000,11
FUBO,17031500,11
FYBR,1111500,11
GAP,7695500,11
GME,24657300,11
GNRC,517600,11
GRPN,1366000,11
HAS,1631200,11
HES,1434700,11
HIMS,19613500,11
HSBC,663700,11
IBIT,67423300,11
IEF,5093000,11
IQ,16677600,11
JNPR,2835800,11
KEY,8209900,11
KMB,2305100,11
KVUE,12315600,11
LI,4526800,11
LMND,2317600,11
LUV,5992900,11
M,8097500,11
MCHP,8778200,11
MCK,551000,11
MDLZ,8706100,11
MO,7787200,11
MPW,15392000,11
NLY,6818500,11
PAA,3687800,11
PCT,1947200,11
PENN,1708200,11
PM,3462700,11
PWR,851300,11
QS,9248100,11
RIO,1765000,11
RIOT,26449900,11
ROST,2742900,11
SAVA,33142300,11
SEDG,3987000,11
SMMT,1279300,11
SNDL,2007700,11
SOUN,40536600,11
STNE,6651000,11
SYF,2924100,11
TAL,3775800,11
TOST,7433400,11
TTWO,1788400,11
UAA,11089500,11
ULTA,848700,11
URI,368600,11
WB,663000,11
WBA,17438100,11
WDAY,4189900,11
ZETA,9760200,11
ACHR,39613000,10
AI,5955400,10
ALT,2139100,10
AMC,21620400,10
ANVS,271300,10
ASO,1943100,10
ASTS,8295000,10
BB,10826300,10
BITF,48087400,10
BLNK,3892700,10
BMBL,1551700,10
BUR,1109500,10
BYON,2371500,10
CAN,18227600,10
CART,2762800,10
CHPT,9886000,10
CIFR,9376600,10
CLOV,3868100,10
CPB,2366200,10
CRSP,1189800,10
EA,1859500,10
EMR,3254700,10
EXE,2605400,10
FAST,2006700,10
FCEL,1861500,10
FFIE,6498500,10
FMC,1590500,10
FOUR,1185000,10
FOXA,3916700,10
FRPT,343700,10
GEO,3633500,10
GOEV,3907600,10
GRAB,20366400,10
HCA,1056500,10
HE,2340900,10
HIVE,5221300,10
HL,10054800,10
HLF,2527300,10
HOG,1261000,10
IBRX,2991600,10
IEP,495200,10
ILMN,2440700,10
IOVA,5417800,10
JMIA,3888300,10
JOBY,21516700,10
JWN,4457000,10
KBH,783900,10
KGC,14871600,10
LAC,4699400,10
LNC,713300,10
LUNR,16358800,10
MBLY,4817800,10
MNKD,5996300,10
MT,1697400,10
MTDR,933200,10
MTZ,1336000,10
MVIS,4090300,10
NE,1797400,10
NKLA,7163000,10
NOK,14044800,10
NTES,1155700,10
NTNX,5041600,10
NTR,1991700,10
NVAX,3672200,10
OMEX,400100,10
OPEN,51618900,10
OSCR,2810700,10
OZK,822100,10
PAGP,927000,10
PBI,1648700,10
PCG,11835700,10
PEG,2657700,10
PLCE,159700,10
POET,5363100,10
RDFN,5632700,10
RILY,1351400,10
RKT,2900400,10
SABR,3113500,10
SERV,3846400,10
SHAK,861200,10
SONY,1783100,10
SPR,664000,10
SQQQ,24916900,10
SYM,1358700,10
TEAM,1345800,10
TEM,891000,10
TEVA,8369300,10
TIGR,2098200,10
TLRY,21482600,10
TOL,1388700,10
TQQQ,34873600,10
TRIP,1672000,10
TROW,1307600,10
TSLL,40477600,10
UBS,1446900,10
URBN,4335000,10
UWMC,3471000,10
VFS,807100,10
VKTX,5187400,10
WCC,570100,10
WHR,910300,10
WIX,711200,10
WPM,1664100,10
WSC,1879900,10
XP,6726900,10
ACB,1532400,9
ACI,3124800,9
ACM,716200,9
ACWI,1691500,9
AEP,2277600,9
AMED,158700,9
AMSC,824800,9
AMT,1791400,9
APTV,4252100,9
AVTR,6181700,9
AX,496100,9
BTI,2696600,9
CAG,5294300,9
CG,2262500,9
CLX,944600,9
CNQ,7248900,9
CNX,1973800,9
CSTM,1064700,9
CXW,781600,9
D,4577000,9
DLO,1222100,9
DOCN,597500,9
DOCS,3571100,9
DQ,391200,9
DUK,2850600,9
EBS,878400,9
EH,804300,9
EMB,4765500,9
ESAB,155600,9
EXAS,5857200,9
EXC,5591700,9
FNV,1261000,9
FTAI,755900,9
FTI,4553600,9
GFI,1607900,9
GIS,3642500,9
GSK,4194600,9
HRL,2312200,9
ICLN,2966900,9
INSM,1104500,9
IRBT,784700,9
K,1123400,9
LAZR,2684900,9
LIN,2600000,9
LNTH,1246700,9
LYV,2338100,9
MAMA,455600,9
MANU,247700,9
MLCO,2314800,9
MRCY,258500,9
NBR,219100,9
NXE,4676700,9
PR,8052900,9
PRU,1138400,9
PSTG,2154300,9
QRVO,2353800,9
QSR,1473600,9
RGLD,304800,9
RNG,1026200,9
ROK,1164700,9
ROOT,321000,9
SATS,1811300,9
SFIX,1284500,9
SIG,538300,9
SNV,992400,9
SPG,1358500,9
STLD,969000,9
TDW,761000,9
THC,1430500,9
VIPS,3120700,9
VOD,5462800,9
WKHS,2526700,9
WSM,1750600,9
YUM,1805600,9
ZION,925200,9
ACA,209900,8
ACMR,1879500,8
ALL,2010500,8
APD,1785000,8
AU,5430700,8
BALL,1169300,8
BHP,2354100,8
BLDR,1149700,8
CB,1623900,8
CC,1614500,8
CCI,2914000,8
CDNS,1144000,8
CFG,2582100,8
CHGG,4254900,8
CLMT,437600,8
CME,2752800,8
CORT,788800,8
CPRT,4528000,8
CRH,5616500,8
CRON,718100,8
CRS,572300,8
CSGP,1913800,8
CTSH,2828800,8
CVLT,279800,8
CYBR,246200,8
DB,979900,8
DNUT,1043700,8
DRI,996100,8
DVA,517800,8
DXC,848500,8
ENOV,779700,8
ETN,2096100,8
EW,4643300,8
FE,1801000,8
FICO,202600,8
FITB,5110000,8
FND,1652700,8
