Ticker,Volume,number_options
SYRS,3065700,4
SBRA,3051800,4
APPS,3043400,6
ARDX,3040100,6
SNY,3035800,6
TXG,3032300,4
APVO,3027900,0
SIRI,3006100,12
IBRX,2991600,10
HUMA,2979000,6
ICLN,2966900,9
FRSH,2964500,4
DMN,2951600,0
TWG,2937000,0
PGHL,2932100,0
LXRX,2931700,6
MAXN,2925800,6
KURA,2915800,4
MTCH,2911400,12
AAOI,2906600,6
CRDO,2883400,6
MCRB,2880800,6
OKTA,2875500,12
GEN,2871100,6
UPWK,2868200,6
PANW,2860500,16
CTSH,2828800,8
OTLY,2814800,5
BLDE,2799100,4
CRBU,2793300,4
LPSN,2791600,6
BRZE,2788900,5
SOXX,2783800,8
TGTX,2770200,12
TERN,2767400,6
ARQT,2766600,6
CART,2762800,10
CME,2752800,8
ROST,2742900,11
DASH,2741000,13
VXUS,2737300,4
INDI,2728300,7
BNDX,2725300,4
SMCX,2723500,4
DOCU,2691100,14
IUSB,2687900,3
WEN,2685000,6
LAZR,2684900,9
AVXL,2679700,5
NTAP,2670100,12
SVC,2661200,5
STI,2632400,0
IGIB,2631000,4
EXE,2605400,10
ARM,2605000,17
LIN,2600000,9
MHUA,2591100,0
PSEC,2573900,6
IRWD,2563100,4
BCTX,2556200,4
CRNT,2553900,5
CCCS,2531600,4
WKHS,2526700,9
ADSK,2519900,12
MULN,2502300,2
LGCL,2479000,0
NXPI,2476600,12
APLT,2471800,5
FANG,2466800,11
PTIX,2452000,0
NBIS,2444500,4
ILMN,2440700,10
LBTYA,2428000,5
PTLE,2425300,0
ADBE,2415700,17
STX,2412500,12
BLBD,2410800,4
DBX,2404600,11
OCGN,2374700,6
BIGC,2373900,4
KWE,2370000,0
AMBA,2367700,12
PYXS,2366300,4
CPB,2366200,10
SRAD,2362300,4
VCLT,2358300,4
QRVO,2353800,9
Z,2350800,13
BRY,2348800,5
GLNG,2326100,6
MLCO,2314800,9
CZR,2313300,12
BNGO,2293200,4
VGIT,2290200,3
SCZ,2282400,4
QYLD,2280400,4
AEP,2277600,9
SBLK,2277200,7
NEXT,2274500,6
HCP,2272200,6
CG,2262500,9
SDVY,2237900,3
REPL,2236700,4
OPCH,2231500,5
SHC,2231500,4
HSIC,2207600,4
SNRE,2191300,0
NTLA,2178000,6
BLRX,2175900,4
RVNC,2175400,4
MOBX,2168200,0
GFS,2160000,8
ALGM,2158600,6
LBTYK,2157800,4
ADMA,2140900,6
LZ,2139600,6
ALT,2139100,10
GBDC,2136900,4
PCAR,2131300,8
LAB,2129000,4
TIGR,2098200,10
GLE,2097500,0
ENTG,2092400,6
QXO,2086200,5
BCOV,2071200,4
EMXC,2065000,4
OPI,2064200,5
FIVE,2061200,6
GOGL,2052400,4
ADTX,2044300,0
GEHC,2040800,13
SONO,2035000,6
UNIT,2015200,6
SNDL,2007700,11
FAST,2006700,10
RZLV,1999600,0
ACRS,1997300,5
RPRX,1991600,4
HOLX,1985200,5
TTEK,1976700,5
ALKT,1969400,4
SEAT,1968200,4
HOLO,1967800,0
TSSI,1966600,0
NDAQ,1964900,8
QFIN,1953900,4
PCT,1947200,11
ASO,1943100,10
BRKR,1942900,4
XRX,1928500,8
XRAY,1926600,4
TVGN,1922300,0
MNMD,1916900,6
AMRN,1913800,5
CSGP,1913800,8
GH,1912500,8
GO,1911000,4
IDYA,1901700,4
INOD,1897000,6
ICAD,1893300,4
WSC,1879900,10
ACMR,1879500,8
AVPT,1872800,5
EMBC,1872700,4
SWKS,1863800,8
BLMN,1862700,5
FCEL,1861500,10
EA,1859500,10
WBUY,1856100,0
VGSH,1855400,4
PLYA,1848300,3
BSCO,1840600,0
SLXN,1838600,0
CLBT,1834700,4
MTC,1821200,0
API,1818700,4
TMC,1816400,6
LSCC,1813000,6
SATS,1811300,9
WYNN,1807400,14
AIOT,1807200,5
VITL,1806800,5
AUTL,1802400,5
IBB,1800900,12
IXUS,1793300,3
CDW,1792700,5
FSLR,1790400,15
TTWO,1788400,11
INTU,1784100,15
LEGN,1775300,5
SKK,1773200,0
APDN,1772800,2
MDB,1768300,16
TER,1768300,7
TVTX,1767100,5
PET,1763500,0
ABCL,1757700,4
TMDX,1757300,6
RELY,1748000,5
CTXR,1735300,4
WWD,1729500,5
PGY,1728300,6
ICCM,1718800,0
LNT,1715200,4
PENN,1708200,11
IBTG,1705500,0
VERU,1704100,8
ADPT,1702200,4
GPRO,1701200,4
ACWI,1691500,9
CNSL,1688600,4
VRRM,1684300,5
XAIR,1681000,4
AKAM,1678600,14
NXT,1676700,6
TRIP,1672000,10
ABVE,1661100,0
VIGL,1660800,0
WMG,1658300,7
CKPT,1652300,4
MTTR,1651800,5
ACVA,1645900,4
NNDM,1635400,5
ACHC,1632600,5
HAS,1631200,11
EVRG,1630300,5
BIVI,1627800,1
MCHI,1623000,6
LKQ,1617800,4
NWSA,1616700,4
